snr,split_type,user_noise,train_nmse,test_nmse_val,test_nmse_train
-10.0,LS,3.0,10.503415885807533,10.485850997458993,10.499626423579436
0.0,LS,3.0,4.597410849373324,4.596050928337117,4.592773405497771
-10.0,LS,3.0,10.500765314834997,10.494403130643457,10.51863725293371
-5.0,LS,3.0,6.883041676567705,6.863826558387998,6.875074803487188
0.0,LS,3.0,4.596894688512127,4.5862536027101575,4.642034961829862
-5.0,LS,3.0,6.880023287376722,6.856264248114526,6.900376613505782
5.0,LS,3.0,3.5459797972436786,3.5397293595776897,3.541851482943541
5.0,LS,3.0,3.5447721298633033,3.537602065487871,3.6131279190322685
0.0,LS,3.0,4.597410849373324,4.596050928337117,4.592773405497771
-10.0,LS,3.0,10.503415885807533,10.485850997458993,10.499626423579436
-10.0,LS,3.0,10.500765314834997,10.494403130643457,10.51863725293371
-5.0,LS,3.0,6.883041676567705,6.863826558387998,6.875074803487188
0.0,LS,3.0,4.596894688512127,4.5862536027101575,4.642034961829862
5.0,LS,3.0,3.5447721298633033,3.537602065487871,3.6131279190322685
-5.0,LS,3.0,6.880023287376722,6.856264248114526,6.900376613505782
5.0,LS,3.0,3.5459797972436786,3.5397293595776897,3.541851482943541
-10.0,bloc,3.0,-11.871166743713161,-0.13568737039484113,-0.6965980266163042
0.0,bloc,3.0,-13.334036654853744,-3.8200476777680463,-3.7901572234768857
-10.0,bloc,3.0,-11.798576964531486,-0.13568737039484113,-0.6714591869947486
5.0,bloc,3.0,-12.886542202444895,-2.328432824523528,-4.2968284119519575
-10.0,random,3.0,-11.429447071539862,-8.56781720755526,-8.597721949684292
-5.0,bloc,3.0,-12.667524722807764,-1.5587052723659889,-1.6400716707059289
-5.0,random,3.0,-12.071819346184952,-10.760341731932305,-10.788868230174405
5.0,random,3.0,-13.35300476673577,-12.756713964762518,-12.762039978351867
5.0,bloc,3.0,-12.746561808632356,-2.328432824523528,-4.235172710662099
-5.0,bloc,3.0,-12.578285507035133,-1.5587052723659889,-1.6136610930836799
-5.0,random,3.0,-11.937020647650396,-10.760341731932305,-10.792084130039793
5.0,random,3.0,-13.259709174938108,-12.752786660843569,-12.754486836598254
-10.0,random,3.0,-11.318139349640132,-8.56781720755526,-8.60370278184239
0.0,random,3.0,-12.678945863373674,-11.742546515936345,-11.74477877134106
0.0,random,3.0,-12.536509477329876,-11.742546515936345,-11.741743628754321
